Query Name,Execution Time,Plan time,Query hash
10a.sql,254.533,12.504,-6651533820180303979
10b.sql,124.634,11.933,988535410010893112
10c.sql,9512.905,12.513,2494719406442254794
11a.sql,85.848,27.401,-8754961486292191806
11b.sql,20.878,24.681,7102013096890644952
11c.sql,271.821,25.367,2333270921735776355
11d.sql,190.685,26.037,-5951735317690032369
12a.sql,257.046,23.968,-9026514954839072455
12b.sql,140.209,23.618,5632455736553151255
12c.sql,1028.830,23.851,6417179009749033666
13a.sql,2343.848,30.215,-1829334865866162189
13b.sql,1033.264,30.603,4778871310081631647
13c.sql,1009.344,31.189,4778871310081631647
13d.sql,9336.788,30.497,2434959201386717317
14a.sql,325.568,21.306,274192810335693858
14b.sql,204.831,21.613,-4506995590541967356
14c.sql,506.886,19.897,299267792258938541
15a.sql,581.595,56.584,-460740518707800565
15b.sql,38.127,52.673,-4209927756710409746
15c.sql,2061.891,59.316,4486446217020337985
15d.sql,2057.418,59.657,-321921298358758659
16a.sql,461.660,27.455,816913887554954199
16b.sql,45613.412,25.761,3350265702090035455
16c.sql,3968.742,23.337,607840843579539521
16d.sql,3088.540,23.675,816913887554954199
17a.sql,25368.777,14.168,-917204397272063480
17b.sql,11130.531,16.806,-5459870143170781696
17c.sql,10471.257,15.087,-5459870143170781696
17d.sql,11575.024,15.452,3199076743843001296
17e.sql,26905.484,14.737,-1944885556475480423
17f.sql,18654.061,19.547,3199076743843001296
18a.sql,4621.624,15.444,-3485514449383768787
18b.sql,240.238,13.451,-2924466581088026648
18c.sql,4416.903,12.501,1168076528610430802
19a.sql,3935.686,76.025,-2080431693778951356
19b.sql,628.061,58.190,-2216088972165640435
19c.sql,645.715,74.344,5068614643165729469
19d.sql,20261.870,75.314,7915967579038312663
1a.sql,147.954,6.065,-1116224040252844741
1b.sql,127.766,5.368,-4074774145614403639
1c.sql,135.472,5.357,946838174961328458
1d.sql,133.482,5.312,-6885312641126422993
20a.sql,2616.944,45.684,-2202723705874175045
20b.sql,1565.087,43.033,-310926232940389306
20c.sql,1109.663,48.467,-6387362809141986757
21a.sql,219.386,54.786,1038524182031953798
21b.sql,58.134,54.821,4184495773567888797
21c.sql,99.656,53.952,-7971004576533452411
22a.sql,777.150,117.015,-7110568913434103698
22b.sql,295.637,114.530,-7110568913434103698
22c.sql,1878.701,108.999,-5949668645089970217
22d.sql,3305.425,116.134,1524343667767028728
23a.sql,135.647,108.747,4445581228366823766
23b.sql,57.420,101.967,-7994933085961275538
23c.sql,215.003,111.030,1076878163750528468
24a.sql,607.393,219.839,6624959997497422723
24b.sql,111.165,207.222,1322643491423167220
25a.sql,1731.243,40.745,-5845388691995996195
25b.sql,244.710,39.746,-4983731566966487840
25c.sql,5024.913,40.630,9105500078934324812
26a.sql,2046.037,217.966,1025902338300761143
26b.sql,557.166,204.799,-3475685009172437784
26c.sql,2458.435,200.576,6841805925482126349
27a.sql,67.826,213.778,-5323664899700589841
27b.sql,29.675,215.152,2103229838344518222
27c.sql,99.246,221.485,-1723239386245354632
28a.sql,1087.132,247.725,-1573023350148659030
28b.sql,793.588,250.595,-3210595597316270705
28c.sql,646.397,255.180,5372730239182956237
29a.sql,38.658,297.189,1693774000992751456
29b.sql,24.552,289.596,-6571914703387389993
29c.sql,349.789,320.829,3549109824785540005
2a.sql,1416.358,5.820,7420183357700622221
2b.sql,1303.882,5.725,7420183357700622221
2c.sql,1241.968,6.264,7420183357700622221
2d.sql,1588.450,6.094,7420183357700622221
30a.sql,574.711,203.596,-6682106289455670140
30b.sql,331.550,194.837,7721649514993682563
30c.sql,4263.473,207.905,-1889760809355916724
31a.sql,3676.114,159.833,7519382914444524780
31b.sql,313.463,128.596,146477119612211947
31c.sql,6017.202,146.412,2399599952233934428
32a.sql,21.405,10.505,6225652705960457954
32b.sql,272.455,10.886,6225652705960457954
33a.sql,33.810,231.260,-3515944407635664271
33b.sql,23.383,228.344,-6846011022746249658
33c.sql,30.519,246.187,-2787191317670660246
3a.sql,182.997,7.720,5539820102114296223
3b.sql,125.027,6.706,2073429154321355728
3c.sql,342.904,7.388,8031722090065659855
4a.sql,161.817,6.059,-1950505845315524548
4b.sql,107.826,5.478,-1950505845315524548
4c.sql,180.410,6.003,-1950505845315524548
5a.sql,228.139,6.307,9106003620751043838
5b.sql,218.023,6.931,-3414057395363075461
5c.sql,267.415,6.707,5596001239447068866
6a.sql,38.559,6.410,3759324545287071861
6b.sql,195.099,6.412,-196995888411579451
6c.sql,14.879,5.915,3759324545287071861
6d.sql,3324.481,6.480,-196995888411579451
6e.sql,35.917,6.184,3759324545287071861
6f.sql,3460.624,6.354,-4608735958739764665
7a.sql,545.971,22.494,7100159318594498086
7b.sql,196.613,22.101,-298514962653462987
7c.sql,4122.421,24.765,-7678011977838348522
8a.sql,1151.035,12.874,99813637196177449
8b.sql,147.907,12.919,4954783290691726040
8c.sql,7757.787,13.064,-2444720784039749802
8d.sql,2881.356,12.877,-2444720784039749802
9a.sql,4092.365,24.144,-6747521538659772949
9b.sql,1435.765,22.468,316739818532851506
9c.sql,847.790,22.390,-180252288200201541
9d.sql,9108.003,22.108,7221379846823333251
