queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
7430954541387508965,"{0.221163375,0.21725739,0.235732091,0.221946228,0.217616499,0.256209121,0.219321755,0.22025706,0.241653728,0.22227714,0.223493373,0.223905024,0.221393065,0.272722686,0.226169234,0.223288612,0.237845349,0.21826684,0.24424889}","{0.237385655,0.242997873,0.230060608,0.235878734,0.231573898,0.229296202,0.229547688,0.256864705,0.233924467,0.242265584,0.23533918,0.252593841,0.251489902,0.23611479,0.241047168}","{0.048900852,0.048985714,0.053167861,0.049327628,0.048804019,0.057644151,0.049276517,0.04962041,0.052485498,0.051409096,0.0490894,0.054552662,0.049401806,0.060381185,0.051213326,0.049037742,0.054225685,0.048720633,0.053576338}","{0.020790356,0.021514073,0.019026199,0.019274039,0.020245325,0.019258199,0.019515377,0.021428563,0.019881845,0.019900949,0.019301526,0.02067295,0.021319421,0.020880914,0.020876827}","{0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054}","{0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567}",49,15
-3495764495604230484,"{1.575004969,1.686475542,1.497201844,1.574961415,1.710951376,1.625525643,1.658347755,1.67379636,1.569374959,0.72194275,0.751615733,0.731432835,0.785821952,0.773880963,0.801228374,0.769843683,0.805601347,0.778644412,0.784956233}","{0.983308019,0.961930579,0.838651462,1.415978422,0.834555689,0.913765313,0.787577022,0.829291457,0.747111409,0.811632404,0.81539175,0.844635358,0.80695386,1.106628157}","{0.059669438,0.061208187,0.057022197,0.054507226,0.074582017,0.054978341,0.057604733,0.060712591,0.054713307,0.058018299,0.054830025,0.055496528,0.058397753,0.055110798,0.055384258,0.062813983,0.056548544,0.055720437,0.055910971}","{0.023877627,0.023690638,0.025620636,0.02337944,0.023244195,0.024100254,0.024150521,0.023555278,0.022959,0.022963424,0.025318809,0.023137836,0.025800156,0.025053081}","{0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779,0.02193123135096779}","{0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723,0.9322820300116723}",49,14
9182348733289197053,"{0.802211523,0.846898517,0.805651845,0.827042558,0.888367464,0.852370418,0.944489019,0.831860186,0.800437933,0.419935474,0.455928972,0.445200304,0.460628953,0.435845465,0.431557882,0.428904098,0.45116453,0.466523915,0.431782085}","{4.862216727,4.606458791,4.675735312,4.063431508,4.805756272,4.420276653,3.887910713,4.195847423,4.378454131,3.938439625,4.57385661,5.10560319,4.605752669,4.415149971}","{0.062068792,0.065073608,0.061476448,0.062089826,0.064202342,0.066686239,0.069802914,0.06133705,0.062012069,0.062664456,0.063714575,0.062999266,0.063274693,0.062782997,0.062285926,0.062772706,0.062734369,0.064923142,0.062007454}","{0.022718156,0.023816227,0.02574899,0.022759188,0.024219879,0.0223313,0.022579148,0.022788773,0.022702449,0.022524617,0.023020136,0.022333734,0.024744898,0.024247658}","{0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.03850817669777474,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054,0.01239686396190054}","{1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745,1.4844389888696745}",49,14
7799030661291734910,"{0.462763122,0.446844121,0.477110204,0.442014197,0.456613299,0.416437392,0.423400061,0.44677291,0.424739509,0.236901528,0.223525543,0.225434532,0.226779445,0.227407846,0.2272336,0.225291594,0.226351953,0.238335592,0.23106683}","{0.259719124,0.233224224,0.256330377,0.230984221,0.256471898,0.269128032,0.243211241,0.247703699,0.231862669,0.236231877,0.258125976,0.260004758,0.260152977,0.230922537}","{0.013138738,0.012294494,0.013083255,0.011828362,0.012524615,0.011147982,0.011488841,0.012267921,0.011585101,0.011683504,0.011629184,0.011850234,0.011564173,0.012130482,0.011693697,0.012339818,0.011440283,0.013126522,0.011505168}","{0.006967715,0.006494765,0.006403588,0.006132045,0.007021333,0.007650612,0.006358493,0.00728063,0.006267506,0.006724735,0.006961175,0.006814932,0.007148725,0.006175193}","{0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.07701635339554948,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081,0.01859529594285081}","{0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559,0.7825147902286559}",49,14
-1890080522291186125,"{0.515342346,0.504747624,0.526572922,0.461078792,0.494230933,0.583379854,0.467474774,0.464609087,0.459646836,0.288736279,0.295471222,0.27192363,0.298346172,0.283338633,0.271329385,0.265691026,0.279770268,0.262534029,0.295532901}","{0.273345001,0.278808985,0.264686493,0.280921698,0.264932698,0.287524022,0.270600409,0.26614457,0.273292423,0.277189489,0.278577225,0.270174925,0.323762681,0.293672069}","{0.033231431,0.035534106,0.035461512,0.031545831,0.032258138,0.035577684,0.030738634,0.031342612,0.031983612,0.034223949,0.034791677,0.032149192,0.036328489,0.032298709,0.033169852,0.031634168,0.035328135,0.032653447,0.034055215}","{0.013873057,0.014644349,0.012783025,0.013312963,0.012818461,0.014257895,0.013688113,0.013081482,0.013285684,0.013036693,0.013061873,0.012735405,0.016173995,0.014456411}","{0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107}","{1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255,1.2696421809895255}",49,14
4621617272025517643,"{11.710063528,11.988876996,12.23816923,11.603779505,11.206124393,13.031229312,11.168811186,11.051198999,11.181744765,6.103558704,6.473826798,6.329302705,6.590711783,6.242018197,6.056028854,6.131456602,6.453697765,5.965482442,6.463593734}","{5.197081822,5.243620148,5.12064251,5.170693208,5.153052131,5.098209753,5.30081045,5.065579731,5.255081232,5.379455044,5.330796499,5.298460997,6.077356381,5.417788215}","{0.032172133,0.033015211,0.032474218,0.029193555,0.030475771,0.033248694,0.029554918,0.029207347,0.028897564,0.032863184,0.032583778,0.031138938,0.033637128,0.032578231,0.031088476,0.029214957,0.031595002,0.029845206,0.032001472}","{0.01556789,0.013083666,0.012674613,0.012924259,0.013219063,0.01418565,0.013179425,0.01272298,0.01317606,0.012579889,0.012804999,0.013103455,0.016039206,0.014066667}","{0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107,0.013946471957138107}","{2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295,2.3495426607698295}",49,14
-565328161990619398,"{0.323377625,0.319239305,0.317748576,0.312050152,0.304251032,0.309535235,0.318632644,0.32394114,0.30915473,0.217917928,0.224907875,0.203374423,0.199310735,0.21813761,0.197654188,0.205577863,0.198066414,0.195599924,0.203040514}","{0.308275893,0.268732321,0.297531895,0.286799235,0.312024507,0.303075179,0.298522842,0.256999563,0.286971657,0.280112902,0.270805931,0.279108248,0.292343414,0.277937127}","{4.460929239,4.216853275,4.4448742,4.44704723,4.17178074,4.211425668,4.963797076,4.541617512,4.39501594,4.307947418,4.747781196,4.386694493,4.665802038,4.525887491,4.365715355,4.550892782,4.416957409,4.658876048,4.756216976}","{0.300119913,0.277682024,0.282337503,0.313234378,0.303071245,0.279437785,0.277509659,0.272500707,0.281535722,0.276047577,0.283380954,0.283552597,0.305744337,0.276961463}","{0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.022359586469675653,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086,0.00990615148674086}","{2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908,2.169963273790908}",49,14
-5383241493793754728,"{2.568742298,2.540248651,2.587816322,2.468454422,2.526343187,2.441169534,2.554911247,2.609311451,2.439861393,1.401355338,1.457238718,1.527807108,1.456454013,1.413271712,1.46377906,1.400438782,1.404683394,1.454200148,1.406751872}","{1.539626584,1.446195231,1.39730872,1.40254316,1.354361365,1.494985859,1.384669305,1.439577671,1.282501436,1.400178092,1.433479143,1.427793181,1.372530532,1.517894562}","{0.031435147,0.03273192,0.034056415,0.030071785,0.031872739,0.030048356,0.031993674,0.033729329,0.030583591,0.031194676,0.030271928,0.034147575,0.031468383,0.030979234,0.031734261,0.03036555,0.031720818,0.030456209,0.030399792}","{0.015095561,0.012978294,0.014149851,0.014099438,0.014236119,0.013159045,0.014397645,0.013287974,0.013084854,0.013167386,0.0148128,0.014087917,0.014516192,0.015408749}","{0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.04332169878499658,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251,0.02806279394018251}","{2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032,2.2178729826197032}",49,14
-6925252347296079652,"{0.125773581,0.238016811,0.15888159,0.126846755,0.234716184,0.14405829,0.122991477,0.263413447,0.155489082,0.122391921,0.22028188,0.145202102,0.129365911,0.258078358,0.15669854,0.125547685,0.245136262,0.163636929,0.143447134}","{0.136780737,0.208718292,0.190908625,0.12508561,0.210602899,0.208784018,0.126465986,0.215531537,0.213984321,0.1428571,0.232599599,0.210333936,0.127322439,0.232595209,0.203225862,0.134486353,0.225083434,0.187500518,0.123550504}","{0.009407448,0.009576305,0.010092673,0.009769238,0.009770147,0.010000553,0.009212518,0.009483431,0.009577847,0.009245491,0.009568585,0.009456247,0.009339095,0.011550287,0.009795494,0.009333335,0.009544851,0.011002547,0.011054703}","{0.005893893,0.005544903,0.005444488,0.005478329,0.005476542,0.00554928,0.005634225,0.005443883,0.006333234,0.006058584,0.006006589,0.005465209,0.005506696,0.00616723,0.005746417,0.005808624,0.005861968,0.005479263,0.005352068}","{0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363,0.04454125566738724,0.01894805398332215,0.019063696277745363}","{0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196,1.030764947919388,0.939621000914439,0.5153428183633196}",147,42
1758072863970875987,"{0.042059603,0.077927071,0.067260984,0.360137209,0.068392283,1.149311428,0.061630317,0.054644611,0.067106993,0.042364063,0.043380473,0.044424161,0.047923221,0.047019247,0.043503585,0.045243124,0.043034879,0.052168058,0.044823517}","{0.09281385,0.082118295,0.093439306,0.089608934,0.086723427,0.081724205,0.082954218,0.083792767,0.089950423,0.087306676,0.082474836,0.091553686,0.093101858,0.084825143}","{3.182524548,3.654254528,3.244252705,3.156090458,3.399107872,3.176677048,3.257758256,3.196713706,3.256148484,3.137311589,3.109359307,3.202031255,3.459869723,3.316448897,3.318030533,3.161950276,3.157376559,3.373392291,3.268483881}","{0.276732834,0.248833827,0.277713172,0.268081213,0.271831214,0.247284637,0.253801648,0.24686289,0.249150718,0.24628981,0.301157378,0.260366097,0.265600952,0.246434307}","{0.042187983651906624,0.039043644329816204,0.03864202506965169,0.9337291101603419,0.03811034276057617,0.9431164974594877,0.15454184237226404,0.06728445260474458,0.05302585738517923,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077,0.01775399000703077}","{1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654,1.5667830549158654}",62,14
