queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,{},"{0.12116315,0.122880295,0.125371996,0.108114069}",{},"{0.013111553,0.010712308,0.011843471,0.010319589}",{},"{1.163118433063791,1.163118433063791,1.163118433063791,1.163118433063791}",0,4
-6651533820180303979,{},"{2.280745744,0.258299581,0.255268889,0.233726576}",{},"{0.024191475,0.010629197,0.012433711,0.010963373}",{},"{0.6594332287801015,0.6594332287801015,0.6594332287801015,0.6594332287801015}",0,4
-3414057395363075461,{},"{0.227362007,0.214916413,0.218580133,0.209600406}",{},"{0.007126593,0.006160494,0.006846722,0.006419559}",{},"{0.7953651044335148,0.7953651044335148,0.7953651044335148,0.7953651044335148}",0,4
3350265702090035455,{},"{52.265039636,43.924363785,45.613997712,42.376836287}",{},"{0.023260045,0.023144295,0.02568137,0.023382413}",{},"{3.3067175789916736,3.3067175789916736,3.3067175789916736,3.3067175789916736}",0,4
-917204397272063480,{},"{38.561528592,25.803043933,25.369753174,25.325799674}",{},"{0.015182193,0.013915503,0.014083128,0.014437291}",{},"{3.238251221279077,3.238251221279077,3.238251221279077,3.238251221279077}",0,4
1693774000992751456,{},"{0.047528657,0.053659888,0.039961601,0.048362566}",{},"{0.313278032,0.290847063,0.297104041,0.285121712}",{},"{1.2133890763818007,1.2133890763818007,1.2133890763818007,1.2133890763818007}",0,4
3759324545287071861,{},"{0.038225047,0.018770208,0.036140581,0.035722832,0.015363111,0.035221529,0.03889262,0.015167355,0.036234932,0.033792592,0.0181618,0.034155278}",{},"{0.006368603,0.006389168,0.006751442,0.00593783,0.005871193,0.006625428,0.006304547,0.005848114,0.006115664,0.005710177,0.005855997,0.006216194}",{},"{0.9783249648280705,0.9844641885068637,0.8262596148584209,0.9783249648280705,0.9844641885068637,0.8262596148584209,0.9783249648280705,0.9844641885068637,0.8262596148584209,0.9783249648280705,0.9844641885068637,0.8262596148584209}",0,12
816913887554954199,{},"{0.617112014,3.031994801,0.424476788,3.029058958,0.462282464,3.089126045,0.389127012,3.168539305}",{},"{0.032146648,0.024991535,0.024984902,0.024075704,0.02736771,0.023590847,0.022898971,0.028829028}",{},"{1.7879146902025649,2.926873224924779,1.7879146902025649,2.926873224924779,1.7879146902025649,2.926873224924779,1.7879146902025649,2.926873224924779}",0,8
7102013096890644952,{},"{0.027902374,0.020973346,0.021556853,0.020191789}",{},"{0.02218311,0.022705967,0.024591449,0.022434754}",{},"{0.7013260617510781,0.7013260617510781,0.7013260617510781,0.7013260617510781}",0,4
-298514962653462987,{},"{0.201976054,0.186906392,0.197295334,0.202490067}",{},"{0.024281886,0.022373636,0.022012828,0.023077165}",{},"{0.7854390216356765,0.7854390216356765,0.7854390216356765,0.7854390216356765}",0,4
