Query Number,Query Name,Execution Time,Plan time,Query hash
10,10a.sql,242.121,12.135,-4409698924550295459
10,10b.sql,122.937,11.661,2327673058233797615
10,10c.sql,10068.974,11.259,8860988427713565746
10,11a.sql,93.144,26.480,-8745628810626288278
10,11b.sql,23.089,22.904,-9046130082131908017
10,11c.sql,256.441,25.089,754561138292963678
10,11d.sql,206.275,25.160,-8853227751184510813
10,12a.sql,303.465,21.218,9049250486687881135
10,12b.sql,140.145,21.316,7111231359014454640
10,12c.sql,1266.708,20.873,5327500320564300865
10,13a.sql,2608.565,30.445,6101368897808108968
10,13b.sql,1111.463,31.944,7105818783943848525
10,13c.sql,1108.864,30.936,7105818783943848525
10,13d.sql,10005.349,32.959,-5885625972757298871
10,14a.sql,348.852,20.931,-6310738669154799660
10,14b.sql,235.241,19.368,7430954541387508965
10,14c.sql,551.433,20.405,-8051795807640054913
10,15a.sql,555.727,53.262,1799237188439200003
10,15b.sql,39.084,52.418,-6016190586237425744
10,15c.sql,2000.397,56.244,-640293413413794320
10,15d.sql,2253.325,56.979,4581372305138760671
10,16a.sql,450.643,24.273,-1158816798049620833
10,16b.sql,51121.527,24.119,-2478965080048270031
10,16c.sql,4626.958,26.022,-5535901023995551278
10,16d.sql,3629.901,25.828,-1158816798049620833
10,17a.sql,30736.349,15.023,6019781246931083125
10,17b.sql,12973.694,14.672,7687882978329045374
10,17c.sql,12172.492,15.215,7687882978329045374
10,17d.sql,12171.991,14.249,-3809785603362132151
10,17e.sql,30805.020,14.352,-2972937597942960473
10,17f.sql,21698.515,14.521,-3809785603362132151
10,18a.sql,5211.005,13.592,-8570358269772166685
10,18b.sql,276.521,13.112,-1890080522291186125
10,18c.sql,5378.661,12.668,4621617272025517643
10,19a.sql,4646.312,85.215,3261834294741233279
10,19b.sql,697.866,65.264,7204209839780818952
10,19c.sql,762.797,83.176,-7738028735347059107
10,19d.sql,24080.622,79.347,5267282279652319986
10,1a.sql,155.199,5.767,-8455555668018032942
10,1b.sql,137.472,5.329,-5913694868169903349
10,1c.sql,146.437,5.366,4846285409507673210
10,1d.sql,135.632,5.133,-4294522389920564102
10,20a.sql,3239.458,48.415,3042830198267909074
10,20b.sql,1686.240,46.359,-3458609441065762063
10,20c.sql,1119.273,49.237,2558748867405111050
10,21a.sql,237.455,55.703,-1630088287367505151
10,21b.sql,51.940,52.304,6350469962105744477
10,21c.sql,100.747,53.927,2684397743657735043
10,22a.sql,770.507,121.388,-8852217324911197084
10,22b.sql,310.079,121.638,-8852217324911197084
10,22c.sql,2239.446,116.444,3330700635734281186
10,22d.sql,4135.482,123.353,8297872767581952856
10,23a.sql,150.552,118.862,1619127084338010792
10,23b.sql,75.023,111.090,-5259407748332317606
10,23c.sql,240.004,118.707,-1124127336827367041
10,24a.sql,304.385,247.959,2280384413821366706
10,24b.sql,201.586,225.133,-1794083932540499185
10,25a.sql,3362.343,43.648,-4626995031345076698
10,25b.sql,288.495,43.396,-4110854689441581467
10,25c.sql,5876.176,43.690,-6027221776095257325
10,26a.sql,1230.094,233.160,-5929401182124901517
10,26b.sql,620.648,227.884,8502155271907567164
10,26c.sql,4780.705,230.859,-7624179224219018171
10,27a.sql,86.450,246.378,1758072863970875987
10,27b.sql,37.973,244.984,-5510733515476627148
10,27c.sql,122.307,255.672,-4477816371804978596
10,28a.sql,1308.282,285.617,4245832029459036970
10,28b.sql,279.171,276.139,-565328161990619398
10,28c.sql,1808.929,284.298,-808880556807194591
10,29a.sql,248.321,339.984,-2799995183862506353
10,29b.sql,26.766,325.314,-1912819773082406463
10,29c.sql,845.870,356.051,6650214460147150979
10,2a.sql,1664.732,5.770,4654868730068868057
10,2b.sql,1584.254,5.644,4654868730068868057
10,2c.sql,1519.163,5.803,4654868730068868057
10,2d.sql,1935.267,5.731,4654868730068868057
10,30a.sql,1906.823,236.340,3596309516107956315
10,30b.sql,385.104,219.511,2619358356542170316
10,30c.sql,1991.167,238.071,-5261930549591539248
10,31a.sql,4305.335,171.020,1975084072464202139
10,31b.sql,386.648,141.372,8637167297044090375
10,31c.sql,7081.568,162.677,-8047523329439800675
10,32a.sql,18.848,11.233,-8152767229854360977
10,32b.sql,364.858,10.552,-8152767229854360977
10,33a.sql,25.987,267.473,1264440547233771903
10,33b.sql,24.987,259.755,5283902462801916534
10,33c.sql,28.677,277.829,7696886476226925320
10,3a.sql,234.197,7.759,-4964681019064054343
10,3b.sql,140.317,6.568,2686551532437100503
10,3c.sql,408.798,7.351,-4267429084482334961
10,4a.sql,208.369,5.614,-6925252347296079652
10,4b.sql,125.975,5.710,-6925252347296079652
10,4c.sql,215.099,5.512,-6925252347296079652
10,5a.sql,251.667,6.301,-4875630082272532892
10,5b.sql,235.722,6.817,7799030661291734910
10,5c.sql,292.743,6.806,6287524160215096911
10,6a.sql,43.168,6.159,-1270565685357017756
10,6b.sql,227.125,6.227,5330016273682105912
10,6c.sql,20.513,5.827,-1270565685357017756
10,6d.sql,3997.117,6.143,5330016273682105912
10,6e.sql,34.291,5.856,-1270565685357017756
10,6f.sql,4047.580,6.588,9034840740838305022
10,7a.sql,924.955,24.604,5731597360962035638
10,7b.sql,224.347,22.733,-5119135715290730827
10,7c.sql,4971.334,26.517,-767513669091434600
10,8a.sql,1399.577,13.245,-5383241493793754728
10,8b.sql,157.098,13.454,-7648844854832005228
10,8c.sql,8955.304,13.864,7828965998619474049
10,8d.sql,3110.846,13.498,7828965998619474049
10,9a.sql,3937.802,22.618,9182348733289197053
10,9b.sql,1527.994,21.574,759743340442407318
10,9c.sql,810.902,23.034,-3495764495604230484
10,9d.sql,11550.342,23.334,-3970444003182879231
