Query Number,Query Name,Execution Time,Plan time,Query hash
8,10a.sql,279.921,24.873,-4409698924550295459
8,10b.sql,130.883,28.621,2327673058233797615
8,10c.sql,11799.530,22.478,8860988427713565746
8,11a.sql,54.396,52.415,-8745628810626288278
8,11b.sql,26.096,55.776,-9046130082131908017
8,11c.sql,217.317,48.412,754561138292963678
8,11d.sql,215.793,54.321,-8853227751184510813
8,12a.sql,305.504,53.657,9049250486687881135
8,12b.sql,151.791,46.686,7111231359014454640
8,12c.sql,1405.082,53.834,5327500320564300865
8,13a.sql,866.872,92.523,6101368897808108968
8,13b.sql,696.752,99.530,7105818783943848525
8,13c.sql,521.264,81.495,7105818783943848525
8,13d.sql,3392.333,87.546,-5885625972757298871
8,14a.sql,401.670,49.717,-6310738669154799660
8,14b.sql,272.168,60.445,7430954541387508965
8,14c.sql,627.876,51.438,-8051795807640054913
8,15a.sql,546.567,121.103,1799237188439200003
8,15b.sql,41.383,124.359,-6016190586237425744
8,15c.sql,2297.379,115.270,-640293413413794320
8,15d.sql,2473.523,128.857,4581372305138760671
8,16a.sql,458.282,49.485,-1158816798049620833
8,16b.sql,12571.326,45.868,-2478965080048270031
8,16c.sql,2968.673,44.977,-5535901023995551278
8,16d.sql,3628.145,45.605,-1158816798049620833
8,17a.sql,6187.929,24.964,6019781246931083125
8,17b.sql,3540.644,27.136,7687882978329045374
8,17c.sql,3203.046,24.835,7687882978329045374
8,17d.sql,3318.068,24.283,-3809785603362132151
8,17e.sql,9643.560,25.166,-2972937597942960473
8,17f.sql,7072.232,26.587,-3809785603362132151
8,18a.sql,757.732,28.736,-8570358269772166685
8,18b.sql,282.700,32.335,-1890080522291186125
8,18c.sql,6241.345,32.618,4621617272025517643
8,19a.sql,412.283,231.770,3261834294741233279
8,19b.sql,266.806,219.976,7204209839780818952
8,19c.sql,730.758,208.933,-7738028735347059107
8,19d.sql,9224.821,199.527,5267282279652319986
8,1a.sql,165.143,10.622,-8455555668018032942
8,1b.sql,136.742,9.858,-5913694868169903349
8,1c.sql,140.584,10.472,4846285409507673210
8,1d.sql,133.690,9.709,-4294522389920564102
8,20a.sql,1972.580,127.616,3042830198267909074
8,20b.sql,904.900,131.692,-3458609441065762063
8,20c.sql,544.428,122.600,2558748867405111050
8,21a.sql,41.517,117.539,-1630088287367505151
8,21b.sql,52.341,113.086,6350469962105744477
8,21c.sql,44.486,121.567,2684397743657735043
8,22a.sql,455.015,307.267,-8852217324911197084
8,22b.sql,315.051,309.153,-8852217324911197084
8,22c.sql,669.175,296.612,3330700635734281186
8,22d.sql,634.232,286.635,8297872767581952856
8,23a.sql,141.489,272.287,1619127084338010792
8,23b.sql,44.148,270.360,-5259407748332317606
8,23c.sql,231.202,272.234,-1124127336827367041
8,24a.sql,236.812,3568.041,2280384413821366706
8,24b.sql,106.198,3400.269,-1794083932540499185
8,25a.sql,2117.898,108.677,-4626995031345076698
8,25b.sql,316.528,104.109,-4110854689441581467
8,25c.sql,5049.608,110.354,-6027221776095257325
8,26a.sql,662.719,3103.492,-5929401182124901517
8,26b.sql,217.639,2979.759,8502155271907567164
8,26c.sql,643.538,3056.008,-7624179224219018171
8,27a.sql,45.992,3316.497,1758072863970875987
8,27b.sql,160.172,3456.887,-5510733515476627148
8,27c.sql,50.569,3475.022,-4477816371804978596
8,28a.sql,259.568,4765.349,4245832029459036970
8,28b.sql,216.854,4525.926,-565328161990619398
8,28c.sql,349.476,4668.921,-808880556807194591
8,29a.sql,101.240,7842.021,-2799995183862506353
8,29b.sql,39.352,6874.439,-1912819773082406463
8,29c.sql,233.201,6534.209,6650214460147150979
8,2a.sql,1001.798,9.924,4654868730068868057
8,2b.sql,695.236,9.529,4654868730068868057
8,2c.sql,28.403,10.922,4654868730068868057
8,2d.sql,1256.725,9.195,4654868730068868057
8,30a.sql,420.979,3601.543,3596309516107956315
8,30b.sql,107.102,3834.527,2619358356542170316
8,30c.sql,1227.872,3343.787,-5261930549591539248
8,31a.sql,276.229,375.420,1975084072464202139
8,31b.sql,55.485,373.986,8637167297044090375
8,31c.sql,312.185,373.361,-8047523329439800675
8,32a.sql,21.099,17.090,-8152767229854360977
