fs,fss,nfeatures,features,targets,reliability,oids
-5119135715290730827,-1241274718,7,"{{-0.8729598613837413,-0.2612432901801864,-1.4616223347979316,-2.890371757896165,-2.890371757896165,-12.885828436702159,-2.93672228289719}}",{2.0794415416798357},{1},"{16405,16479,16527,16536,16545,16563}"
-2799995183862506353,-1986476828,10,"{{-3.7687888594518686,-4.727387818712341,-2.4849066497880004,-2.4849066497880004,-10.39516093745751,-4.727387818712341,-1.3862943611198906,-11.806862931584517,-1.3862943611198906,-3.486568689393415}}",{7.289610521451167},{1},"{16448,16425,16405,16456,16463,16497,16519,16556}"
6650214460147150979,1901238731,9,"{{-14.959841313840421,-3.731369526745619,-12.367328027087364,-1.02216990268343,-10.39516093745751,-1.3862943611198906,-11.806862931584517,-1.3862943611198906,-3.486568689393415}}",{10.161573447047902},{1},"{16448,16425,16416,16405,16432,16463,16486,16497,16519}"
-6027221776095257325,759387079,2,"{{-3.392039421988541,-13.85833534555489}}",{0},{1},{16405}
-2799995183862506353,100366417,5,"{{-3.7687888594518686,-10.39516093745751,-1.3862943611198906,-11.806862931584517,-1.3862943611198906}}",{7.633853559681768},{1},"{16448,16425,16405,16463,16519}"
1758072863970875987,-834935629,13,"{{-2.890371757896165,-4.7002137578033985,-0.8518930642347371,-0.09674637701780181,-0.6931471805599453,-1.6023694477092933,-12.367328027087364,-3.7826452271286155,-0.716893553814074,-0.11275072001485245,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906}}",{6.635946555686647},{1},"{16448,16425,16425,16432,16479,16486,16497,16527,16563}"
1758072863970875987,133360703,4,"{{-4.7002137578033985,-0.716893553814074,-1.3862943611198906,-1.3862943611198906}}",{7.72356247227797},{1},"{16448,16441,16486,16497,16527}"
6650214460147150979,872766261,1,{{-13.273065259817821}},{2.939739782902915},{1},{16486}
1758072863970875987,-910901518,9,"{{-4.7002137578033985,-0.8518930642347371,-0.09674637701780181,-0.6931471805599453,-1.6023694477092933,-12.367328027087364,-0.716893553814074,-0.11275072001485245,-1.3862943611198906}}",{9.14825217966276},{1},"{16448,16425,16432,16486,16497,16519,16527,16563}"
7687882978329045374,1924433358,5,"{{-15.242824734036668,-10.39516093745751,-6.21323295885696,-11.806862931584517,-12.367328027087364},{-15.242824734036668,-10.39516093745751,-4.826938597737069,-11.806862931584517,-12.367328027087364}}","{7.559038255443384,10.864866366226208}","{1,1}","{16405,16432,16463,16486,16519,16536}"
-7738028735347059107,737206882,2,"{{-12.367328027087364,-1.02216990268343}}",{0},{1},{16432}
-640293413413794320,1515282126,5,"{{-1.02216990268343,-3.6345238544918206,-7.184902960336827,-12.367328027087364,-0.3688087608171883}}",{5.648974238161206},{1},"{16394,16432,16486,16497,16563}"
3261834294741233279,2121978268,10,"{{-2.4849066497880004,-9.210967235081624,-0.8241150514675003,-3.731369526745619,-2.4849066497880004,-0.27617030579161994,-1.4639244139506833,-3.486568689393415,-0.6699516424936622,-1.5306306139058883}}",{5.293304824724492},{1},"{16384,16405,16486,16497,16536,16556,16563}"
6350469962105744477,1421281999,2,"{{-1.3862943611198906,-1.3862943611198906}}",{0},{1},{16441}
