,query_number,query_name,execution_time,plan_time,query_hash
678,12,10a.sql,518.119,31.339,-4409698924550295459
679,12,10b.sql,216.542,28.375,2327673058233797615
680,12,10c.sql,25472.29,23.1,8860988427713565746
681,12,11a.sql,89.375,60.678,-8745628810626288278
153,12,11b.sql,53.962,58.332,-9046130082131908017
683,12,11c.sql,236.0,54.45,754561138292963678
154,12,11d.sql,352.202,63.618,-8853227751184510813
685,12,12a.sql,517.158,59.869,9049250486687881135
686,12,12b.sql,302.422,53.807,7111231359014454640
687,12,12c.sql,3626.42,58.255,5327500320564300865
688,12,13a.sql,1964.667,90.98,6101368897808108968
155,12,13b.sql,705.089,90.774,7105818783943848525
156,12,13c.sql,553.825,93.519,7105818783943848525
691,12,13d.sql,8655.82,78.911,-5885625972757298871
692,12,14a.sql,517.187,50.582,-6310738669154799660
693,12,14b.sql,253.991,55.953,7430954541387508965
694,12,14c.sql,830.208,48.778,-8051795807640054913
695,12,15a.sql,1152.146,130.931,1799237188439200003
696,12,15b.sql,63.431,124.951,-6016190586237425744
697,12,15c.sql,5329.841,111.797,-640293413413794320
698,12,15d.sql,4600.045,117.494,4581372305138760671
699,12,16a.sql,545.92,51.618,-1158816798049620833
700,12,16b.sql,18589.31,45.725,-2478965080048270031
701,12,16c.sql,3734.217,50.359,-5535901023995551278
702,12,16d.sql,4322.138,51.091,-1158816798049620833
703,12,17a.sql,8227.446,29.08,6019781246931083125
704,12,17b.sql,4370.422,30.448,7687882978329045374
705,12,17c.sql,3886.325,26.588,7687882978329045374
706,12,17d.sql,4270.269,27.724,-3809785603362132151
707,12,17e.sql,11661.707,30.848,-2972937597942960473
708,12,17f.sql,8409.493,29.77,-3809785603362132151
709,12,18a.sql,1971.469,31.49,-8570358269772166685
710,12,18b.sql,612.294,35.574,-1890080522291186125
711,12,18c.sql,13527.124,32.989,4621617272025517643
712,12,19a.sql,913.572,293.282,3261834294741233279
713,12,19b.sql,544.596,235.542,7204209839780818952
714,12,19c.sql,1589.42,238.207,-7738028735347059107
715,12,19d.sql,14434.316,209.176,5267282279652319986
716,12,1a.sql,333.017,11.723,-8455555668018032942
717,12,1b.sql,285.565,11.06,-5913694868169903349
718,12,1c.sql,291.149,11.482,4846285409507673210
719,12,1d.sql,288.741,10.896,-4294522389920564102
720,12,20a.sql,5721.052,144.74,3042830198267909074
721,12,20b.sql,10454.936,141.225,-3458609441065762063
722,12,20c.sql,5671.377,153.574,2558748867405111050
723,12,21a.sql,67.663,124.913,-1630088287367505151
724,12,21b.sql,80.672,129.504,6350469962105744477
157,12,21c.sql,69.568,140.479,2684397743657735043
726,12,22a.sql,690.582,388.666,-8852217324911197084
727,12,22b.sql,498.407,335.755,-8852217324911197084
