Query Number,Query Name,Execution Time,Plan time,Query hash
113,15,10a.sql,522.468,29.511,-4409698924550295459
114,15,10b.sql,229.462,27.099,2327673058233797615
115,15,10c.sql,24050.336,25.343,8860988427713565746
116,15,11a.sql,76.948,62.583,-8745628810626288278
8,15,11b.sql,45.943,59.102,-9046130082131908017
118,15,11c.sql,268.328,54.506,754561138292963678
9,15,11d.sql,296.122,53.418,-8853227751184510813
120,15,12a.sql,755.163,59.167,9049250486687881135
121,15,12b.sql,299.723,53.626,7111231359014454640
122,15,12c.sql,3286.968,60.032,5327500320564300865
123,15,13a.sql,1790.644,90.203,6101368897808108968
10,15,13b.sql,641.18,86.645,7105818783943848525
11,15,13c.sql,551.519,89.286,7105818783943848525
126,15,13d.sql,7751.153,81.724,-5885625972757298871
127,15,14a.sql,502.736,58.009,-6310738669154799660
128,15,14b.sql,258.899,56.759,7430954541387508965
129,15,14c.sql,842.084,54.515,-8051795807640054913
130,15,15a.sql,1138.391,136.443,1799237188439200003
131,15,15b.sql,69.292,138.865,-6016190586237425744
132,15,15c.sql,5135.336,123.456,-640293413413794320
133,15,15d.sql,4641.178,123.266,4581372305138760671
134,15,16a.sql,542.665,55.112,-1158816798049620833
135,15,16b.sql,15684.887,50.053,-2478965080048270031
136,15,16c.sql,3568.395,51.875,-5535901023995551278
137,15,16d.sql,4194.943,52.602,-1158816798049620833
138,15,17a.sql,7114.715,28.833,6019781246931083125
139,15,17b.sql,4178.807,28.013,7687882978329045374
140,15,17c.sql,3833.284,40.051,7687882978329045374
141,15,17d.sql,4146.738,28.562,-3809785603362132151
142,15,17e.sql,11527.601,29.448,-2972937597942960473
143,15,17f.sql,8287.564,27.612,-3809785603362132151
144,15,18a.sql,1966.28,31.775,-8570358269772166685
145,15,18b.sql,595.981,38.072,-1890080522291186125
146,15,18c.sql,13094.482,33.725,4621617272025517643
147,15,19a.sql,964.827,278.996,3261834294741233279
148,15,19b.sql,568.778,243.952,7204209839780818952
149,15,19c.sql,1635.917,243.747,-7738028735347059107
150,15,19d.sql,14334.241,214.917,5267282279652319986
151,15,1a.sql,301.696,12.073,-8455555668018032942
152,15,1b.sql,291.227,11.082,-5913694868169903349
153,15,1c.sql,294.014,11.372,4846285409507673210
154,15,1d.sql,282.632,10.546,-4294522389920564102
155,15,20a.sql,5466.75,144.163,3042830198267909074
156,15,20b.sql,1814.392,141.033,-3458609441065762063
157,15,20c.sql,1090.233,139.803,2558748867405111050
158,15,21a.sql,80.282,133.335,-1630088287367505151
159,15,21b.sql,79.599,128.505,6350469962105744477
12,15,21c.sql,74.885,141.751,2684397743657735043
161,15,22a.sql,684.858,370.036,-8852217324911197084
162,15,22b.sql,518.843,342.776,-8852217324911197084
163,15,22c.sql,1663.226,346.096,3330700635734281186
13,15,22d.sql,1142.76,332.119,8297872767581952856
165,15,23a.sql,301.768,311.496,1619127084338010792
166,15,23b.sql,107.959,304.403,-5259407748332317606
167,15,23c.sql,479.436,318.67,-1124127336827367041
168,15,24a.sql,342.744,4144.673,2280384413821366706
169,15,24b.sql,144.496,4000.308,-1794083932540499185
170,15,25a.sql,3569.143,109.613,-4626995031345076698
171,15,25b.sql,485.155,106.112,-4110854689441581467
172,15,25c.sql,7616.766,110.464,-6027221776095257325
173,15,26a.sql,1230.245,3087.6,-5929401182124901517
174,15,26b.sql,390.253,2851.114,8502155271907567164
175,15,26c.sql,1316.931,2945.064,-7624179224219018171
14,15,27a.sql,79.373,3557.697,1758072863970875987
177,15,27b.sql,85.754,3654.447,-5510733515476627148
178,15,27c.sql,702.152,3516.215,-4477816371804978596
15,15,28a.sql,1015.507,4955.578,4245832029459036970
180,15,28b.sql,207.608,4812.708,-565328161990619398
181,15,28c.sql,3138.22,5024.884,-808880556807194591
182,15,29a.sql,113.034,8261.734,-2799995183862506353
183,15,29b.sql,63.637,7565.748,-1912819773082406463
184,15,29c.sql,8695.092,7372.829,6650214460147150979
185,15,2a.sql,1116.606,10.712,4654868730068868057
186,15,2b.sql,842.546,10.283,4654868730068868057
187,15,2c.sql,51.835,10.775,4654868730068868057
188,15,2d.sql,1472.108,10.067,4654868730068868057
189,15,30a.sql,845.815,3898.597,3596309516107956315
190,15,30b.sql,331.201,4058.033,2619358356542170316
191,15,30c.sql,2458.404,3682.06,-5261930549591539248
192,15,31a.sql,657.753,423.735,1975084072464202139
193,15,31b.sql,260.904,425.04,8637167297044090375
194,15,31c.sql,943.85,426.246,-8047523329439800675
195,15,32a.sql,26.607,19.132,-8152767229854360977
196,15,32b.sql,408.863,17.355,-8152767229854360977
197,15,33a.sql,79.603,4287.565,1264440547233771903
198,15,33b.sql,61.07,3939.746,5283902462801916534
199,15,33c.sql,70.633,4135.441,7696886476226925320
200,15,3a.sql,310.224,11.745,-4964681019064054343
201,15,3b.sql,165.527,10.177,2686551532437100503
202,15,3c.sql,491.52,11.013,-4267429084482334961
203,15,4a.sql,179.275,11.373,-6925252347296079652
204,15,4b.sql,153.901,12.273,-6925252347296079652
205,15,4c.sql,265.935,10.91,-6925252347296079652
206,15,5a.sql,577.75,14.314,-4875630082272532892
207,15,5b.sql,495.823,13.386,7799030661291734910
208,15,5c.sql,637.785,14.088,6287524160215096911
209,15,6a.sql,53.943,11.072,-1270565685357017756
210,15,6b.sql,357.377,11.319,5330016273682105912
211,15,6c.sql,27.703,11.961,-1270565685357017756
212,15,6d.sql,6270.652,11.721,5330016273682105912
213,15,6e.sql,42.83,10.485,-1270565685357017756
214,15,6f.sql,5733.604,10.393,9034840740838305022
215,15,7a.sql,1830.121,66.896,5731597360962035638
216,15,7b.sql,395.281,59.585,-5119135715290730827
217,15,7c.sql,5379.631,63.885,-767513669091434600
218,15,8a.sql,2879.232,34.529,-5383241493793754728
219,15,8b.sql,273.166,37.286,-7648844854832005228
220,15,8c.sql,13971.537,27.847,7828965998619474049
221,15,8d.sql,5989.91,27.121,7828965998619474049
222,15,9a.sql,954.664,69.136,9182348733289197053
223,15,9b.sql,3749.4,66.172,759743340442407318
224,15,9c.sql,1849.413,61.349,-3495764495604230484
225,15,9d.sql,11865.402,59.488,-3970444003182879231
