Query Number,Query Name,Execution Time,Plan time,Query hash
5,10a.sql,541.783,29.159,-4409698924550295459
5,10b.sql,217.172,26.871,2327673058233797615
5,10c.sql,23161.422,24.172,8860988427713565746
5,11a.sql,116.872,54.445,-8745628810626288278
5,11b.sql,35.191,53.878,-9046130082131908017
5,11c.sql,238.688,48.346,754561138292963678
5,11d.sql,463.747,46.966,-8853227751184510813
5,12a.sql,747.390,51.061,9049250486687881135
5,12b.sql,274.013,47.331,7111231359014454640
5,12c.sql,3190.592,51.549,5327500320564300865
5,13a.sql,4814.956,73.861,6101368897808108968
5,13b.sql,602.319,75.929,7105818783943848525
5,13c.sql,493.194,77.022,7105818783943848525
5,13d.sql,6977.661,69.642,-5885625972757298871
5,14a.sql,457.099,54.601,-6310738669154799660
5,14b.sql,249.326,55.794,7430954541387508965
5,14c.sql,818.667,52.987,-8051795807640054913
5,15a.sql,1084.549,121.860,1799237188439200003
5,15b.sql,62.061,123.969,-6016190586237425744
5,15c.sql,5038.111,119.534,-640293413413794320
5,15d.sql,4109.751,116.843,4581372305138760671
5,16a.sql,568.817,48.413,-1158816798049620833
5,16b.sql,202682.479,45.045,-2478965080048270031
5,16c.sql,89145.620,51.087,-5535901023995551278
5,16d.sql,21574.629,52.653,-1158816798049620833
5,17a.sql,5959.480,27.557,6019781246931083125
5,17b.sql,3786.648,27.192,7687882978329045374
5,17c.sql,3511.103,27.475,7687882978329045374
5,17d.sql,3666.699,26.835,-3809785603362132151
5,17e.sql,10457.659,26.433,-2972937597942960473
5,17f.sql,7684.333,27.309,-3809785603362132151
5,18a.sql,1673.891,29.903,-8570358269772166685
5,18b.sql,521.528,36.042,-1890080522291186125
5,18c.sql,11528.596,32.063,4621617272025517643
5,19a.sql,892.601,230.369,3261834294741233279
5,19b.sql,472.438,220.247,7204209839780818952
5,19c.sql,1514.849,218.519,-7738028735347059107
5,19d.sql,30001.315,202.341,5267282279652319986
5,1a.sql,270.424,10.202,-8455555668018032942
5,1b.sql,262.350,9.976,-5913694868169903349
5,1c.sql,267.149,10.076,4846285409507673210
5,1d.sql,264.265,9.379,-4294522389920564102
5,20a.sql,5527.769,134.312,3042830198267909074
5,20b.sql,2006.204,132.911,-3458609441065762063
5,20c.sql,1214.195,134.099,2558748867405111050
5,21a.sql,142.414,129.392,-1630088287367505151
5,21b.sql,76.939,129.669,6350469962105744477
5,21c.sql,80.698,133.999,2684397743657735043
5,22a.sql,813.311,341.885,-8852217324911197084
5,22b.sql,467.455,333.422,-8852217324911197084
5,22c.sql,1467.462,343.887,3330700635734281186
5,22d.sql,14612.660,328.381,8297872767581952856
5,23a.sql,297.033,310.048,1619127084338010792
5,23b.sql,104.504,308.337,-5259407748332317606
5,23c.sql,464.438,316.068,-1124127336827367041
5,24a.sql,311.451,3615.413,2280384413821366706
5,24b.sql,142.631,3868.537,-1794083932540499185
5,25a.sql,3181.096,114.960,-4626995031345076698
5,25b.sql,495.214,115.218,-4110854689441581467
5,25c.sql,9273.881,118.439,-6027221776095257325
5,26a.sql,510.379,3182.294,-5929401182124901517
5,26b.sql,258.120,3109.120,8502155271907567164
5,26c.sql,1122.644,3024.737,-7624179224219018171
5,27a.sql,70.832,3486.967,1758072863970875987
5,27b.sql,48.672,3443.777,-5510733515476627148
5,27c.sql,344.170,3471.992,-4477816371804978596
5,28a.sql,967.740,4857.854,4245832029459036970
5,28b.sql,229.702,4763.187,-565328161990619398
5,28c.sql,347.699,4810.659,-808880556807194591
5,29a.sql,3531.131,7091.726,-2799995183862506353
5,29b.sql,53.437,6937.633,-1912819773082406463
5,29c.sql,3144.782,6550.085,6650214460147150979
5,2a.sql,784.746,9.694,4654868730068868057
5,2b.sql,699.565,10.102,4654868730068868057
5,2c.sql,46.542,9.719,4654868730068868057
5,2d.sql,1252.679,9.384,4654868730068868057
5,30a.sql,685.504,3466.563,3596309516107956315
5,30b.sql,1985.492,3881.701,2619358356542170316
5,30c.sql,3846.695,3447.398,-5261930549591539248
5,31a.sql,621.481,400.963,1975084072464202139
5,31b.sql,273.005,387.851,8637167297044090375
5,31c.sql,930.275,392.358,-8047523329439800675
5,32a.sql,25.807,18.424,-8152767229854360977
5,32b.sql,361.267,16.150,-8152767229854360977
5,33a.sql,66.344,3804.747,1264440547233771903
5,33b.sql,67.204,3744.932,5283902462801916534
5,33c.sql,66.662,3833.961,7696886476226925320
5,3a.sql,242.732,10.771,-4964681019064054343
5,3b.sql,159.005,9.668,2686551532437100503
5,3c.sql,430.560,11.053,-4267429084482334961
5,4a.sql,161.985,10.544,-6925252347296079652
5,4b.sql,146.687,10.062,-6925252347296079652
5,4c.sql,230.139,10.630,-6925252347296079652
5,5a.sql,502.097,12.606,-4875630082272532892
5,5b.sql,464.240,12.721,7799030661291734910
5,5c.sql,595.456,12.976,6287524160215096911
5,6a.sql,42.850,10.278,-1270565685357017756
5,6b.sql,295.167,10.810,5330016273682105912
5,6c.sql,25.426,10.280,-1270565685357017756
5,6d.sql,5478.945,10.562,5330016273682105912
5,6e.sql,41.322,10.610,-1270565685357017756
5,6f.sql,5421.115,11.063,9034840740838305022
5,7a.sql,1737.241,62.878,5731597360962035638
5,7b.sql,369.027,57.233,-5119135715290730827
5,7c.sql,12430.150,62.113,-767513669091434600
