degree,essay_text_len,clevel,gen,sgroup,test_preparation
78,785,Intermediate Level,Male,ClassA,0
87,874,Intermediate Level,Male,ClassA,1
74,0,Beginner Level,Male,ClassA,0
48,483,Intermediate Level,Male,ClassA,0
61,0,Beginner Level,Male,ClassA,0
50,0,Beginner Level,Male,ClassA,0
62,625,Intermediate Level,Male,ClassA,0
63,0,Intermediate Level,Male,ClassA,0
40,0,Expert Level,Male,ClassA,0
70,705,Beginner Level,Male,ClassA,0
44,443,Intermediate Level,Male,ClassB,0
59,0,Intermediate Level,Male,ClassB,0
78,0,Beginner Level,Male,ClassB,0
55,0,Intermediate Level,Male,ClassB,0
89,896,Beginner Level,Male,ClassB,1
85,0,Beginner Level,Male,ClassB,1
81,816,Intermediate Level,Male,ClassB,1
82,823,Intermediate Level,Male,ClassB,1
78,783,Expert Level,Male,ClassB,0
40,0,Beginner Level,Male,ClassB,0
48,0,Intermediate Level,Male,ClassA,0
81,815,Intermediate Level,Male,ClassA,1
78,785,Beginner Level,Male,ClassA,0
77,776,Intermediate Level,Male,ClassA,0
43,433,Beginner Level,Male,ClassA,0
61,0,Beginner Level,Male,ClassA,0
67,673,Intermediate Level,Male,ClassA,0
73,737,Intermediate Level,Male,ClassA,0
59,595,Expert Level,Male,ClassA,0
53,0,Beginner Level,Male,ClassA,0
66,663,Intermediate Level,Male,ClassD,0
68,685,Intermediate Level,Male,ClassD,0
89,895,Beginner Level,Male,ClassD,1
55,552,Intermediate Level,Male,ClassD,0
69,694,Beginner Level,Male,ClassD,0
87,873,Beginner Level,Male,ClassD,1
80,0,Intermediate Level,Male,ClassD,0
55,0,Intermediate Level,Male,ClassD,0
54,0,Expert Level,Male,ClassD,0
82,825,Beginner Level,Male,ClassD,1
84,843,Intermediate Level,Female,ClassE,1
91,914,Intermediate Level,Female,ClassE,1
85,855,Beginner Level,Female,ClassE,1
86,866,Intermediate Level,Female,ClassE,1
94,0,Beginner Level,Female,ClassE,1
79,0,Beginner Level,Female,ClassE,0
98,982,Intermediate Level,Female,ClassE,1
98,986,Intermediate Level,Female,ClassE,1
88,885,Expert Level,Female,ClassE,1
88,0,Beginner Level,Female,ClassE,1
76,766,Intermediate Level,Male,ClassB,0
88,885,Intermediate Level,Male,ClassB,1
81,815,Beginner Level,Male,ClassB,1
47,477,Intermediate Level,Male,ClassB,0
41,416,Beginner Level,Male,ClassB,0
48,486,Beginner Level,Male,ClassB,0
75,756,Intermediate Level,Male,ClassB,0
86,864,Intermediate Level,Male,ClassB,1
72,724,Expert Level,Male,ClassB,0
73,735,Beginner Level,Male,ClassB,0
67,0,Intermediate Level,Male,ClassC,0
74,747,Intermediate Level,Male,ClassC,0
86,866,Beginner Level,Male,ClassC,1
63,0,Intermediate Level,Male,ClassC,0
70,0,Beginner Level,Male,ClassC,0
63,0,Beginner Level,Male,ClassC,0
64,0,Intermediate Level,Male,ClassC,0
60,602,Intermediate Level,Male,ClassC,0
89,895,Expert Level,Male,ClassC,1
88,0,Beginner Level,Male,ClassC,1
78,785,Intermediate Level,Male,ClassB,0
43,436,Intermediate Level,Male,ClassB,0
55,0,Beginner Level,Male,ClassB,0
40,404,Intermediate Level,Male,ClassB,0
71,715,Beginner Level,Male,ClassB,0
71,0,Beginner Level,Male,ClassB,0
72,726,Intermediate Level,Male,ClassB,0
59,0,Intermediate Level,Male,ClassB,0
80,0,Expert Level,Male,ClassB,0
57,0,Beginner Level,Male,ClassB,0
72,725,Intermediate Level,Male,ClassC,0
60,602,Intermediate Level,Male,ClassC,0
72,0,Beginner Level,Male,ClassC,0
74,746,Intermediate Level,Male,ClassC,0
64,643,Beginner Level,Male,ClassC,0
68,0,Beginner Level,Male,ClassC,0
63,632,Intermediate Level,Male,ClassC,0
69,695,Intermediate Level,Male,ClassC,0
85,856,Expert Level,Male,ClassC,1
72,723,Beginner Level,Male,ClassC,0
74,746,Intermediate Level,Male,ClassD,0
50,502,Intermediate Level,Male,ClassD,0
78,0,Beginner Level,Male,ClassD,0
70,703,Intermediate Level,Male,ClassD,0
60,607,Beginner Level,Male,ClassD,0
64,643,Beginner Level,Male,ClassD,0
57,574,Intermediate Level,Male,ClassD,0
50,502,Intermediate Level,Male,ClassD,0
91,915,Expert Level,Male,ClassD,1
70,0,Beginner Level,Male,ClassD,0
42,422,Intermediate Level,Female,ClassA,0
79,794,Intermediate Level,Female,ClassA,0
41,0,Beginner Level,Female,ClassA,0
64,647,Intermediate Level,Female,ClassA,0
61,0,Beginner Level,Female,ClassA,0
35,0,Beginner Level,Female,ClassA,0
40,403,Intermediate Level,Female,ClassA,0
48,483,Intermediate Level,Female,ClassA,0
59,593,Expert Level,Female,ClassA,0
44,0,Beginner Level,Female,ClassA,0
85,0,Intermediate Level,Male,ClassB,1
73,737,Intermediate Level,Male,ClassB,0
87,873,Beginner Level,Male,ClassB,1
88,0,Intermediate Level,Male,ClassB,1
73,0,Beginner Level,Male,ClassB,0
70,704,Beginner Level,Male,ClassB,0
44,0,Intermediate Level,Male,ClassB,0
86,865,Intermediate Level,Male,ClassB,1
74,0,Expert Level,Male,ClassB,0
82,0,Beginner Level,Male,ClassB,1
52,522,Intermediate Level,Male,ClassD,0
80,806,Intermediate Level,Male,ClassD,0
55,0,Beginner Level,Male,ClassD,0
69,696,Intermediate Level,Male,ClassD,0
52,524,Beginner Level,Male,ClassD,0
74,0,Beginner Level,Male,ClassD,0
76,767,Intermediate Level,Male,ClassD,0
50,0,Intermediate Level,Male,ClassD,0
81,817,Expert Level,Male,ClassD,1
55,556,Beginner Level,Male,ClassD,0
42,0,Intermediate Level,Male,ClassA,0
76,763,Intermediate Level,Male,ClassA,0
85,0,Beginner Level,Male,ClassA,1
66,0,Intermediate Level,Male,ClassA,0
47,476,Beginner Level,Male,ClassA,0
89,894,Beginner Level,Male,ClassA,1
53,0,Intermediate Level,Male,ClassA,0
49,0,Intermediate Level,Male,ClassA,0
70,706,Expert Level,Male,ClassA,0
85,0,Beginner Level,Male,ClassA,1
49,493,Intermediate Level,Male,ClassA,0
42,422,Intermediate Level,Male,ClassA,0
42,0,Beginner Level,Male,ClassA,0
66,667,Intermediate Level,Male,ClassA,0
87,0,Beginner Level,Male,ClassA,1
85,0,Beginner Level,Male,ClassA,1
61,616,Intermediate Level,Male,ClassA,0
43,432,Intermediate Level,Male,ClassA,0
58,0,Expert Level,Male,ClassA,0
87,877,Beginner Level,Male,ClassA,1
61,614,Intermediate Level,Female,ClassC,0
69,695,Intermediate Level,Female,ClassC,0
63,0,Beginner Level,Female,ClassC,0
89,896,Intermediate Level,Female,ClassC,1
61,0,Beginner Level,Female,ClassC,0
74,747,Beginner Level,Female,ClassC,0
72,726,Intermediate Level,Female,ClassC,0
71,712,Intermediate Level,Female,ClassC,0
68,686,Expert Level,Female,ClassC,0
65,654,Beginner Level,Female,ClassC,0
58,585,Intermediate Level,Female,ClassA,0
63,633,Intermediate Level,Female,ClassA,0
70,704,Beginner Level,Female,ClassA,0
64,644,Intermediate Level,Female,ClassA,0
58,583,Beginner Level,Female,ClassA,0
35,354,Beginner Level,Female,ClassA,0
50,504,Intermediate Level,Female,ClassA,0
69,695,Intermediate Level,Female,ClassA,0
89,896,Expert Level,Female,ClassA,1
50,0,Beginner Level,Female,ClassA,0
85,852,Intermediate Level,Male,ClassB,1
76,764,Intermediate Level,Male,ClassB,0
88,886,Beginner Level,Male,ClassB,1
51,516,Intermediate Level,Male,ClassB,0
75,752,Beginner Level,Male,ClassB,0
80,0,Beginner Level,Male,ClassB,0
45,457,Intermediate Level,Male,ClassB,0
57,576,Intermediate Level,Male,ClassB,0
83,835,Expert Level,Male,ClassB,1
76,763,Beginner Level,Male,ClassB,0
73,0,Intermediate Level,Female,ClassA,0
54,0,Intermediate Level,Female,ClassA,0
50,506,Beginner Level,Female,ClassA,0
81,816,Intermediate Level,Female,ClassA,1
57,574,Beginner Level,Female,ClassA,0
67,672,Beginner Level,Female,ClassA,0
43,0,Intermediate Level,Female,ClassA,0
64,643,Intermediate Level,Female,ClassA,0
81,814,Expert Level,Female,ClassA,1
48,0,Beginner Level,Female,ClassA,0
84,0,Intermediate Level,Male,ClassB,1
83,0,Intermediate Level,Male,ClassB,1
46,464,Beginner Level,Male,ClassB,0
81,813,Intermediate Level,Male,ClassB,1
